list(file = "./GQ874230.1.gff3", start = 1166, end = 936),
list(file = "./CP072239.1.gff3", start = 46765, end = 66061),

list(file = "./CP103141.1.gff3", start = 6790842, end = 6810138),
list(file = "./CP103228.1.gff3", start = 6666776, end = 6686072),
list(file = "./CP083681.1.gff3", start = 552334, end = 571630),
list(file = "./CP103100.1.gff3", start = 6338502, end = 6359206),
list(file = "./CP103118.1.gff3", start = 628114, end = 647410),

list(file = "./CP103082.1.gff3", start = 2895574, end = 2916317),

list(file = "./CP107195.1.gff3", start = 3408922, end = 3428179),
list(file = "./CP046426.1.gff3", start = 1620382, end = 1639639),
list(file = "./CP046424.1.gff3", start = 1741737, end = 1760994),
list(file = "./CP103166.1.gff3", start = 4947199, end = 4967942),
list(file = "./AP019724.1.gff3", start = 978001, end = 997258),

list(file = "./CP046425.1.gff3", start = 1621416, end = 1640673),
list(file = "./CP103125.1.gff3", start = 5382741, end = 5401998),
list(file = "./CP083675.1.gff3", start = 208409, end = 227666),
list(file = "./CP083680.1.gff3", start = 5740504, end = 5761247),
list(file = "./CP126057.1.gff3", start = 62152, end = 80844)
